staff_id,hotel_id,first_name,last_name,gender,position,department,position_level,start_date,salary,annual_bonus,shift,email,phone,emergency_contact,emergency_relation,emergency_phone,skills,languages,certifications,employment_type,education_level,work_schedule,performance_rating,vacation_days_per_year,sick_days_per_year,is_active,end_date,termination_reason,date_of_birth,nationality
48bb4bb7-0c8f-482f-abcf-d8357bd1083a,d9bf33b8-1840-414d-98c6-28783bd17201,Victoire,Guillou,F,Bell Captain,Front Desk,Intermediate,2016-04-14,86552.0,9039.88,Rotating,victoire.guillou@hospitalitygroup.com,+1-872-442-9175,Joanna Wallace,Sibling,+1-931-220-6343,"Communication, Problem Solving, Customer Service",German (Native),,Full-time,High School,10-6,Meets Expectations,15,11,True,,,1978-10-02,Europe
502ce7a2-12a0-42f4-91df-f46795f878d9,d9bf33b8-1840-414d-98c6-28783bd17201,Georgina,Murphy,F,Concierge,Front Desk,Intermediate,2021-12-06,105051.47,11397.69,Morning,gmurphy@hotelgroup.com,+1-711-332-4728,April Young,Sibling,+1-905-885-8237,"Communication, Customer Service, Multi-tasking",Chinese (Native),,Full-time,High School,10-6,Meets Expectations,17,7,True,,,1989-05-30,Europe
2bf76d7c-5fac-4649-8337-013cd3962aa6,d9bf33b8-1840-414d-98c6-28783bd17201,Hiltraud,Weitzel,F,Concierge,Front Desk,Intermediate,2021-09-15,110849.35,20705.36,Morning,hiltraudw@hospitalitygroup.com,+1-544-373-8203,Anthony Copeland,Spouse,+1-253-568-8065,"Customer Service, Problem Solving, Multi-tasking, Communication, Reservation Systems","Arabic (Native), German (Basic), Spanish (Fluent)",,Seasonal,Bachelor's Degree,Peak Season,Unsatisfactory,16,11,True,,,1986-11-13,Europe
3ab78b3f-4bae-44fa-a857-081dd1c1966f,d9bf33b8-1840-414d-98c6-28783bd17201,Tatiana,Conti,F,Bell Captain,Front Desk,Intermediate,2017-04-12,84422.2,5902.02,Morning,tatianac@hotelgroup.com,+1-841-477-5034,Courtney Vasquez,Friend,+1-655-506-1254,"Multi-tasking, Communication, Problem Solving",German (Native),,Full-time,Bachelor's Degree,Shift Work,Meets Expectations,16,8,True,,,1994-12-05,Europe
e634b5b4-325a-42ae-a1c6-6e42b3f90e73,d9bf33b8-1840-414d-98c6-28783bd17201,Lorraine,Hardy,F,Front Desk Agent,Front Desk,Junior,2023-05-24,72685.1,11452.14,Night,lorraineh@luxuryhotels.com,+1-993-466-2131,Sarah Foster,Spouse,+1-495-874-6893,"Communication, Problem Solving, Multi-tasking, Customer Service, Reservation Systems","Arabic (Native), Chinese (Basic)",,Seasonal,Vocational Training,Peak Season,Meets Expectations,15,6,True,,,1999-12-14,Europe
483793b3-cdb7-4594-a719-aad3440874b3,d9bf33b8-1840-414d-98c6-28783bd17201,Brett,Evans,M,Front Desk Agent,Front Desk,Junior,2024-07-26,53670.61,6665.73,Rotating,bevans@hotelgroup.com,+1-989-809-6462,Michelle Walton,Sibling,+1-461-314-7272,"Communication, Problem Solving, Customer Service, Multi-tasking, Reservation Systems",English (Native),,Full-time,Bachelor's Degree,9-5,Needs Improvement,13,8,True,,,1990-07-21,Europe
a791e8c7-de88-409c-abc9-028975c0ce93,d9bf33b8-1840-414d-98c6-28783bd17201,Emma,Tacchini,F,Front Desk Agent,Front Desk,Junior,2025-03-12,54560.96,3429.8,Night,emma.tacchini@luxuryhotels.com,+1-793-370-9960,Steve Johnson,Sibling,+1-353-707-2259,"Problem Solving, Reservation Systems, Multi-tasking, Customer Service",Chinese (Native),,Part-time,High School,20 hours/week,Meets Expectations,15,12,False,2025-07-10,Terminated,1998-03-21,Europe
24f790dc-5871-460c-b75e-9ba574b0f23f,d9bf33b8-1840-414d-98c6-28783bd17201,Sylvia,Jordan,F,Guest Relations Manager,Front Desk,Senior,2018-02-07,103796.79,18083.1,Afternoon,sylviaj@hospitalitygroup.com,+1-658-202-6944,Jill Maxwell,Parent,+1-403-790-4345,"Problem Solving, Customer Service, Multi-tasking",French (Native),,Full-time,High School,8-4,Exceeds Expectations,16,7,True,,,1994-03-10,Europe
3b97781f-d5ed-4430-8ad8-381735a22e90,d9bf33b8-1840-414d-98c6-28783bd17201,Severiano,Sanmiguel,M,Bell Captain,Front Desk,Intermediate,2024-05-06,79036.95,5417.31,Night,severiano.sanmiguel@hospitalitygroup.com,+1-597-650-2494,Laura Chang,Friend,+1-273-857-1837,"Communication, Customer Service, Multi-tasking, Reservation Systems","French (Native), Spanish (Basic)",,Full-time,Bachelor's Degree,Shift Work,Meets Expectations,15,7,True,,,1989-09-21,Europe
f31533e0-2337-4992-bf7e-76c0c718e239,d9bf33b8-1840-414d-98c6-28783bd17201,Manuel,Girón,M,Front Desk Agent,Front Desk,Junior,2026-02-18,64185.94,5817.12,Morning,manuelg@hospitalitygroup.com,+1-965-588-6522,John Schneider,Sibling,+1-728-458-6698,"Multi-tasking, Customer Service, Communication, Problem Solving","Japanese (Native), English (Fluent)",,Full-time,High School,9-5,Meets Expectations,15,6,False,,,2005-09-11,Europe
276466a5-4866-48fa-8a45-6ae12b83e8ad,d9bf33b8-1840-414d-98c6-28783bd17201,María Teresa,Casado,F,Front Desk Agent,Front Desk,Junior,2022-12-16,80715.78,9180.21,Morning,mcasado@hotelgroup.com,+1-369-794-7138,Douglas Mendoza,Parent,+1-424-976-6891,"Communication, Customer Service, Problem Solving","English (Native), French (Basic)",,Full-time,Bachelor's Degree,8-4,Exceeds Expectations,15,8,True,,,1991-10-03,Europe
25dee635-3c47-4429-bb9d-7eeb806365d2,d9bf33b8-1840-414d-98c6-28783bd17201,Trevor,Clayton,M,Guest Relations Manager,Front Desk,Senior,2023-06-08,164598.36,22732.31,Morning,tclayton@hospitalitygroup.com,+1-681-614-3998,Joseph Huynh,Spouse,+1-543-227-4532,"Problem Solving, Customer Service, Communication",German (Native),,Full-time,High School,Shift Work,Meets Expectations,15,9,True,,,1987-01-23,Europe
43a5ef5b-527b-4a2d-b7f8-f8dd0beeab49,d9bf33b8-1840-414d-98c6-28783bd17201,Klaus,Naser,M,Concierge,Front Desk,Intermediate,2016-02-16,102744.25,12600.3,Rotating,knaser@hotelgroup.com,+1-369-365-5456,Crystal Rojas,Parent,+1-625-748-1247,"Multi-tasking, Communication",German (Native),,Full-time,High School,Shift Work,Needs Improvement,16,6,True,,,1979-03-07,Europe
aa1c157b-1884-427a-8721-996c574c814f,d9bf33b8-1840-414d-98c6-28783bd17201,Augustin,Neveu,M,Bellhop,Front Desk,Entry Level,2025-05-13,43338.89,3205.76,Night,augustin.neveu@luxuryhotels.com,+1-387-527-8828,Katie Diaz,Friend,+1-508-261-4303,"Reservation Systems, Customer Service, Problem Solving, Communication",English (Native),,Full-time,Bachelor's Degree,Shift Work,Meets Expectations,13,6,True,,,1995-01-19,Europe
911e0a4f-0ef2-42ff-a4ad-fcdba3b7ce91,d9bf33b8-1840-414d-98c6-28783bd17201,Ruggiero,Agostinelli,M,Front Desk Agent,Front Desk,Junior,2022-03-17,77568.79,6750.93,Morning,ruggiero.agostinelli@hospitalitygroup.com,+1-928-734-4689,Jeremy Hampton,Spouse,+1-584-749-1857,"Problem Solving, Customer Service, Communication, Multi-tasking, Reservation Systems",English (Native),,Full-time,Master's Degree,8-4,Meets Expectations,11,6,True,,,1983-07-31,Europe
23aca3d2-8a37-437c-be47-e74c513e77a2,d9bf33b8-1840-414d-98c6-28783bd17201,Rosa,Ladeck,F,Guest Relations Manager,Front Desk,Senior,2019-12-19,107291.1,6044.75,Afternoon,rosa.ladeck@hospitalitygroup.com,+1-769-585-3893,Brandon Gonzalez,Sibling,+1-429-768-1043,"Communication, Problem Solving, Reservation Systems","English (Native), Arabic (Intermediate)",,Full-time,Vocational Training,9-5,Meets Expectations,15,12,False,2023-01-17,End of Contract,1982-04-05,Europe
e3e4429b-7698-45a7-b116-12ac8217391a,d9bf33b8-1840-414d-98c6-28783bd17201,Wenke,Jacob,F,Executive Housekeeper,Housekeeping,Managerial,2012-06-12,241498.73,40121.14,Morning,wenkej@luxuryhotels.com,+1-379-798-3373,Andrea Best,Sibling,+1-609-379-7801,"Teamwork, Time Management, Attention to Detail, Cleaning Techniques","Arabic (Native), Japanese (Basic), Spanish (Fluent), French (Fluent)","Food Safety Manager, CHIA",Full-time,High School,9-5,Exceeds Expectations,28,11,True,,,1991-03-23,Europe
5cf7473d-c165-4178-8519-a451b332bd3c,d9bf33b8-1840-414d-98c6-28783bd17201,Ellinor,Zorbach,F,Laundry Attendant,Housekeeping,Entry Level,2026-10-06,43482.32,3324.57,Morning,ellinor.zorbach@hotelgroup.com,+1-260-696-8204,Kathryn Blair,Sibling,+1-822-698-8858,"Time Management, Teamwork, Cleaning Techniques, Attention to Detail",German (Native),,Full-time,Vocational Training,9-5,Meets Expectations,13,5,False,,,2007-03-10,Europe
9e0a01da-fdc6-4263-b867-ace2afcbf896,d9bf33b8-1840-414d-98c6-28783bd17201,Philippine,Boyer,F,Room Attendant,Housekeeping,Entry Level,2026-02-10,58349.87,11050.82,Afternoon,pboyer@luxuryhotels.com,+1-629-284-4988,Jeffrey Zamora,Spouse,+1-921-463-9681,"Teamwork, Time Management, Cleaning Techniques, Attention to Detail",Japanese (Native),,Part-time,Vocational Training,Weekends Only,Meets Expectations,13,5,True,,,1992-08-21,Europe
3d36a5a7-5931-4ef5-a79d-068b0cf90d3d,d9bf33b8-1840-414d-98c6-28783bd17201,Lisbeth,Hentschel,F,Laundry Attendant,Housekeeping,Entry Level,2022-08-18,59859.71,11449.86,Morning,lisbeth.hentschel@luxuryhotels.com,+1-205-293-5486,Katie Davis,Parent,+1-687-999-6492,"Time Management, Teamwork, Attention to Detail, Cleaning Techniques","Japanese (Native), German (Fluent), English (Intermediate), Arabic (Fluent)",,Full-time,High School,10-6,Unsatisfactory,12,11,True,,,1983-06-22,Europe
9193f0cb-33bc-45ea-b7e5-ef96e829c78d,d9bf33b8-1840-414d-98c6-28783bd17201,Donato,Antonetti,M,Laundry Attendant,Housekeeping,Entry Level,2023-06-20,55169.88,7116.57,Morning,dantonetti@hospitalitygroup.com,+1-777-986-3755,Benjamin Stephens,Parent,+1-504-952-8207,"Teamwork, Time Management, Attention to Detail",Japanese (Native),,Full-time,High School,8-4,Meets Expectations,13,11,True,,,2001-09-30,Europe
4499249d-5195-4272-8395-fa41881e1eef,d9bf33b8-1840-414d-98c6-28783bd17201,Michèle,Gimenez,F,Housekeeper,Housekeeping,Entry Level,2023-10-19,62343.88,6011.25,Morning,michèleg@luxuryhotels.com,+1-347-363-3556,Eduardo Martin,Spouse,+1-793-751-2147,"Time Management, Attention to Detail, Cleaning Techniques, Teamwork",Chinese (Native),,Full-time,Bachelor's Degree,Shift Work,Meets Expectations,14,7,True,,,2003-05-05,Europe
12f3d7f0-eff9-4d26-ad04-f1fb078923e1,d9bf33b8-1840-414d-98c6-28783bd17201,Liana,Prodi,F,Housekeeping Supervisor,Housekeeping,Intermediate,2018-11-26,84524.46,14154.23,Afternoon,lprodi@luxuryhotels.com,+1-463-627-9837,Michael Beck,Parent,+1-365-365-5763,"Time Management, Attention to Detail, Cleaning Techniques, Teamwork","Japanese (Native), French (Intermediate)",,Full-time,Bachelor's Degree,8-4,Meets Expectations,16,7,True,,,1990-09-12,Europe
c8efa288-06cf-43fe-b18f-3f6fa4866154,d9bf33b8-1840-414d-98c6-28783bd17201,Trude,Weiß,F,Public Area Cleaner,Housekeeping,Intermediate,2021-03-17,123672.06,6349.28,Afternoon,trudew@luxuryhotels.com,+1-647-681-3840,Jorge Cooper,Sibling,+1-803-302-5013,"Cleaning Techniques, Teamwork, Time Management, Attention to Detail",French (Native),,Part-time,High School,Weekends Only,Exceeds Expectations,16,10,True,,,1986-05-09,Europe
910f3ed2-d97e-4c5a-af21-c0172171dd97,d9bf33b8-1840-414d-98c6-28783bd17201,Denise,Hughes,F,Housekeeping Supervisor,Housekeeping,Intermediate,2016-06-24,110624.06,15047.5,Afternoon,dhughes@hotelgroup.com,+1-787-414-9157,Benjamin Solis,Spouse,+1-304-525-1226,"Time Management, Teamwork","Arabic (Native), Japanese (Basic)",,Seasonal,High School,Winter Only,Meets Expectations,16,7,True,,,1990-07-15,Europe
552858f7-8f6f-4da7-a002-dc1f78990505,d9bf33b8-1840-414d-98c6-28783bd17201,Jemma,Kirk,F,Housekeeping Supervisor,Housekeeping,Intermediate,2023-12-19,99669.36,9790.05,Afternoon,jemmak@luxuryhotels.com,+1-298-328-6987,Jill Graham,Spouse,+1-884-311-7972,"Teamwork, Cleaning Techniques, Attention to Detail, Time Management","Chinese (Native), French (Fluent), Arabic (Fluent), Russian (Intermediate)",,Full-time,Vocational Training,9-5,Meets Expectations,18,12,True,,,1999-08-18,Europe
e2e1e684-3ec9-487c-818e-2cd6390c6d02,d9bf33b8-1840-414d-98c6-28783bd17201,Edeltrud,Ritter,F,Housekeeping Supervisor,Housekeeping,Intermediate,2017-08-21,123648.18,22125.79,Afternoon,edeltrud.ritter@hospitalitygroup.com,+1-200-974-9503,Christy Roberts,Friend,+1-947-283-2785,"Cleaning Techniques, Attention to Detail, Teamwork",Spanish (Native),,Part-time,Vocational Training,Weekends Only,Needs Improvement,15,9,True,,,1996-02-27,Europe
fe268451-b82e-4ec9-a0ed-a1060dad1b56,d9bf33b8-1840-414d-98c6-28783bd17201,Louis,Lejeune,M,Housekeeper,Housekeeping,Entry Level,2021-06-07,53320.71,7649.47,Afternoon,louis.lejeune@luxuryhotels.com,+1-272-533-9089,Kevin Mcneil,Friend,+1-667-400-6314,"Attention to Detail, Cleaning Techniques, Time Management, Teamwork","Chinese (Native), Japanese (Fluent)",,Full-time,Bachelor's Degree,10-6,Meets Expectations,15,11,True,,,2001-12-15,Europe
68cba184-7ca0-4594-9f45-2acd7629332b,d9bf33b8-1840-414d-98c6-28783bd17201,Jasmine,Gray,F,Room Attendant,Housekeeping,Entry Level,2021-07-13,71455.44,13420.59,Morning,jasmineg@luxuryhotels.com,+1-399-913-3899,Jorge Thomas,Spouse,+1-500-602-8090,"Cleaning Techniques, Teamwork, Attention to Detail, Time Management","French (Native), English (Intermediate), Arabic (Basic)",,Full-time,High School,10-6,Meets Expectations,10,9,True,,,1986-01-12,Europe
d65a2f8c-9f0f-4382-92b3-2821a0a1f576,d9bf33b8-1840-414d-98c6-28783bd17201,Rebecca,Adams,F,Laundry Attendant,Housekeeping,Entry Level,2026-12-14,63356.08,5439.39,Afternoon,rebeccaa@hospitalitygroup.com,+1-976-642-9172,Ashley Melton,Spouse,+1-472-289-4110,"Time Management, Attention to Detail, Cleaning Techniques, Teamwork","English (Native), Japanese (Fluent)",,Part-time,High School,20 hours/week,Meets Expectations,14,7,True,,,2000-03-02,Europe
747b5e46-4994-4fd2-b6bf-628313fd3b65,d9bf33b8-1840-414d-98c6-28783bd17201,Bethany,Jones,F,Housekeeping Supervisor,Housekeeping,Intermediate,2018-06-27,112280.23,9844.08,Morning,bethanyj@hospitalitygroup.com,+1-688-251-4411,Mikayla Poole,Spouse,+1-208-570-8220,"Time Management, Attention to Detail, Cleaning Techniques, Teamwork","Arabic (Native), Russian (Intermediate), Spanish (Basic)",,Full-time,High School,Shift Work,Meets Expectations,18,12,False,2019-10-20,Retired,1994-04-03,Europe
6134206f-770d-4244-bef4-211e265c912b,d9bf33b8-1840-414d-98c6-28783bd17201,Nikolaus,Ditschlerin,M,Housekeeping Supervisor,Housekeeping,Intermediate,2018-10-02,112610.06,22079.56,Morning,nikolaus.ditschlerin@luxuryhotels.com,+1-549-428-5327,Taylor Landry,Spouse,+1-281-838-1074,"Attention to Detail, Teamwork","French (Native), Spanish (Basic), Chinese (Fluent)",,Part-time,High School,Weekends Only,Needs Improvement,15,9,True,,,1992-05-19,Europe
f09e1e2e-8422-4b08-818e-6e02f249219b,d9bf33b8-1840-414d-98c6-28783bd17201,Annelene,Sauer,F,Housekeeping Supervisor,Housekeeping,Intermediate,2021-12-27,77176.99,7726.35,Morning,asauer@hospitalitygroup.com,+1-334-315-4462,Alexis Steele MD,Friend,+1-620-227-6153,"Attention to Detail, Cleaning Techniques, Time Management, Teamwork",Chinese (Native),,Full-time,Master's Degree,Shift Work,Meets Expectations,20,11,True,,,1993-02-14,Europe
5a7ff388-db2c-47c7-a323-0b6f9910519c,d9bf33b8-1840-414d-98c6-28783bd17201,Christophe,Giraud,M,Housekeeping Supervisor,Housekeeping,Intermediate,2018-02-19,95876.09,16350.35,Morning,christophe.giraud@luxuryhotels.com,+1-905-752-9169,Justin Martin,Friend,+1-712-657-8808,"Attention to Detail, Teamwork",German (Native),,Full-time,Master's Degree,8-4,Meets Expectations,15,10,True,,,1999-12-29,Europe
efa70ff6-de7f-41d3-9b55-f0bc0423257b,d9bf33b8-1840-414d-98c6-28783bd17201,Angelica,Lachmann,F,Public Area Cleaner,Housekeeping,Intermediate,2018-03-20,99031.34,15026.19,Afternoon,angelica.lachmann@hospitalitygroup.com,+1-429-708-2661,Ashley Patel,Parent,+1-468-534-2016,"Cleaning Techniques, Teamwork","English (Native), Russian (Intermediate)",,Full-time,High School,9-5,Meets Expectations,18,9,True,,,1991-11-20,Europe
69563613-e797-4184-97c4-077f786c542a,d9bf33b8-1840-414d-98c6-28783bd17201,Orazio,Zamorani,M,Housekeeping Supervisor,Housekeeping,Intermediate,2025-03-07,84036.63,8518.82,Afternoon,orazioz@hospitalitygroup.com,+1-947-358-6722,Maria Harvey,Sibling,+1-884-259-3101,"Time Management, Attention to Detail",Japanese (Native),,Full-time,High School,9-5,Exceeds Expectations,18,11,False,2025-07-23,Retired,2005-10-14,Europe
fb5f0df7-88ec-487a-85cc-4eec01cf3cff,d9bf33b8-1840-414d-98c6-28783bd17201,Inna,Dippel,F,Room Attendant,Housekeeping,Entry Level,2023-04-11,53049.87,8797.6,Morning,idippel@luxuryhotels.com,+1-476-750-5403,Valerie Gonzales,Spouse,+1-846-919-6257,"Teamwork, Time Management, Cleaning Techniques","Spanish (Native), Japanese (Basic), English (Basic)",,Full-time,Bachelor's Degree,8-4,Meets Expectations,14,6,False,2025-10-27,Resigned,1992-11-13,Europe
8368579c-a52f-4be8-82f4-abc4b46372fa,d9bf33b8-1840-414d-98c6-28783bd17201,Giampaolo,Renzi,M,Housekeeping Supervisor,Housekeeping,Intermediate,2017-04-28,106035.06,16945.03,Morning,giampaolor@hospitalitygroup.com,+1-725-375-3991,Chad Collins,Spouse,+1-222-830-5327,"Attention to Detail, Teamwork, Time Management, Cleaning Techniques","Arabic (Native), German (Intermediate), English (Basic), Chinese (Intermediate)",,Full-time,Bachelor's Degree,9-5,Meets Expectations,16,7,True,,,1994-12-14,Europe
450a3af0-5c2a-4d8d-b46c-fabe88b6f88a,d9bf33b8-1840-414d-98c6-28783bd17201,Santino,Bettoni,M,Laundry Attendant,Housekeeping,Entry Level,2024-11-04,42781.38,4456.4,Afternoon,santino.bettoni@hospitalitygroup.com,+1-450-323-2253,Jillian Johnson,Spouse,+1-722-365-5433,"Attention to Detail, Cleaning Techniques, Teamwork, Time Management","German (Native), English (Intermediate), Chinese (Basic), French (Intermediate)",,Part-time,Vocational Training,30 hours/week,Needs Improvement,13,9,True,,,1998-11-10,Europe
f720d24e-2512-4a5e-b145-1d90a6006078,d9bf33b8-1840-414d-98c6-28783bd17201,Rachael,Lloyd,F,Room Attendant,Housekeeping,Entry Level,2023-07-20,51816.58,3867.55,Morning,rachael.lloyd@hotelgroup.com,+1-736-710-4903,Christian Clark,Friend,+1-804-919-3137,"Attention to Detail, Time Management","Russian (Native), French (Basic)",,Full-time,High School,Shift Work,Meets Expectations,15,5,True,,,1991-06-20,Europe
ee120fb6-0575-4a25-a758-112b1d4ce926,d9bf33b8-1840-414d-98c6-28783bd17201,Bianca,Toscani,F,Room Attendant,Housekeeping,Entry Level,2025-07-10,67896.47,4280.8,Afternoon,bianca.toscani@hotelgroup.com,+1-407-561-1645,Lucas Ortiz,Spouse,+1-787-474-6217,"Time Management, Teamwork, Attention to Detail, Cleaning Techniques","German (Native), Chinese (Intermediate)",,Full-time,PhD,8-4,Meets Expectations,14,6,True,,,2001-09-13,Europe
c1a0c83a-fa08-4d95-bcba-952d7d990fab,d9bf33b8-1840-414d-98c6-28783bd17201,Patricia,Scott,F,Public Area Cleaner,Housekeeping,Intermediate,2022-06-02,66760.34,4313.5,Afternoon,patricia.scott@luxuryhotels.com,+1-269-618-9426,Jessica Chapman,Spouse,+1-350-952-6817,"Time Management, Cleaning Techniques","Japanese (Native), German (Basic), English (Basic), French (Basic)",,Full-time,High School,10-6,Meets Expectations,18,12,True,,,1985-07-20,Europe
e730b61b-f1f2-4ded-85c1-938c1e95b1fc,d9bf33b8-1840-414d-98c6-28783bd17201,Cécile,Laroche,F,Housekeeper,Housekeeping,Entry Level,2025-09-19,47701.4,3887.37,Afternoon,claroche@hotelgroup.com,+1-953-663-4148,Julie Robinson,Sibling,+1-910-555-2385,"Time Management, Attention to Detail","Spanish (Native), Arabic (Basic)",,Full-time,High School,10-6,Exceeds Expectations,13,6,True,,,1991-02-12,Europe
b373a103-6748-456a-8afb-79fb9035bae5,d9bf33b8-1840-414d-98c6-28783bd17201,Denis,Godard,M,Laundry Attendant,Housekeeping,Entry Level,2023-10-23,58603.89,6590.08,Morning,denisg@luxuryhotels.com,+1-994-918-1630,Catherine Olson,Parent,+1-458-440-6560,"Teamwork, Time Management","Arabic (Native), Spanish (Fluent), French (Basic), German (Fluent)",,Full-time,High School,8-4,Meets Expectations,14,12,True,,,1999-03-22,Europe
b561ba49-650a-49f8-a131-58ffb257b034,d9bf33b8-1840-414d-98c6-28783bd17201,Christin,Biggen,F,Housekeeper,Housekeeping,Entry Level,2026-05-19,49369.36,4141.56,Afternoon,christinb@luxuryhotels.com,+1-797-465-2889,Gail Fisher,Spouse,+1-254-587-5408,"Teamwork, Time Management","French (Native), Russian (Fluent), Chinese (Basic)",,Full-time,Vocational Training,Shift Work,Meets Expectations,10,11,True,,,2003-06-07,Europe
2846e1ac-8174-4894-b0cb-8c58146eb367,d9bf33b8-1840-414d-98c6-28783bd17201,Víctor,Quirós,M,Laundry Attendant,Housekeeping,Entry Level,2025-06-09,63664.86,6072.88,Morning,víctor.quirós@hotelgroup.com,+1-760-531-6208,Michael Alvarez,Friend,+1-523-965-1308,"Attention to Detail, Time Management","German (Native), English (Basic)",,Full-time,Bachelor's Degree,Shift Work,Exceeds Expectations,10,12,True,,,1996-07-22,Europe
