staff_id,hotel_id,first_name,last_name,gender,position,department,position_level,hire_date,salary,annual_bonus,shift,email,phone,emergency_contact,emergency_relation,emergency_phone,total_experience_years,company_tenure_years,skills,languages,certifications,previous_hotels_worked,employment_type,education_level,work_schedule,performance_rating,vacation_days_remaining,sick_days_remaining,is_active,termination_date,termination_reason,date_of_birth,nationality,emergency_contact_name,emergency_contact_phone
S0001000011,82958c98-18a5-4f9a-9695-04f292b4abb2,ซูฮัยดา,แก้วอยู่,F,Guest Relations Manager,Front Desk,Senior,2025-04-10,74700,6415.49,Morning,ซูฮัยดา.แก้วอยู่83@hotelgroup.com,+1-866-996-1809,Christopher Johnston,Partner,+1-395-718-6168,8.8,0.8,"Customer Service, Attention to Detail, Communication","English (Native), Japanese (Fluent), French (Fluent)",,0,Full-time,Vocational Training,9am-5pm,Needs Improvement,7,6,True,,,1967-11-28,Asia Pacific,Christopher Johnston,+1-395-718-6168
S0001000012,82958c98-18a5-4f9a-9695-04f292b4abb2,强,王,M,Front Desk Agent,Front Desk,Junior,2026-08-22,38800,5775.1,Morning,强王@hospitalitygroup.com,+1-201-976-9600,Kendra Bridges,Spouse,+1-471-484-5210,3.8,0.1,"Time Management, Computer Skills, Multi-tasking, Customer Service",Japanese (Native),,3,Full-time,High School,9am-5pm,Meets Expectations,6,8,True,,,1972-05-15,Asia Pacific,Kendra Bridges,+1-471-484-5210
S0001000013,82958c98-18a5-4f9a-9695-04f292b4abb2,涼平,高橋,M,Guest Relations Manager,Front Desk,Senior,2020-06-01,74700,7479.5,Morning,涼平.高橋@hotelgroup.com,+1-777-706-8818,Dennis Hodges,Parent,+1-704-845-6078,12.0,5.7,"Problem Solving, Conflict Resolution, Customer Service, Time Management, Attention to Detail",Japanese (Native),"Wine & Spirits Certification, First Aid Certified",2,Full-time,Bachelor's Degree,3pm-11pm,Meets Expectations,25,5,True,,,1998-06-01,Asia Pacific,Dennis Hodges,+1-704-845-6078
S0001000014,82958c98-18a5-4f9a-9695-04f292b4abb2,鹏,王,M,Front Desk Agent,Front Desk,Junior,2025-09-19,30400,1006.88,Rotating,鹏王@hotelgroup.com,+1-341-971-5537,Mandy Graves,Parent,+1-875-608-3034,3.5,0.4,"Customer Service, Computer Skills, Time Management, Reservation Systems, Communication",Japanese (Native),,3,Full-time,High School,10am-6pm,Meets Expectations,9,9,True,,,1966-08-23,Asia Pacific,Mandy Graves,+1-875-608-3034
S0001000015,82958c98-18a5-4f9a-9695-04f292b4abb2,晨,雷,M,Front Desk Agent,Front Desk,Junior,2026-07-07,27500,2995.79,Afternoon,晨.雷27@luxuryhotels.com,+1-902-819-5560,Donald Mccormick,Parent,+1-582-744-6441,1.5,0.1,"Conflict Resolution, Time Management, Communication, Customer Service, Problem Solving",German (Native),,3,Full-time,High School,8am-4pm,Meets Expectations,7,11,True,,,1983-11-02,Asia Pacific,Donald Mccormick,+1-582-744-6441
S0001000016,82958c98-18a5-4f9a-9695-04f292b4abb2,상현,주,M,Guest Relations Manager,Front Desk,Senior,2022-10-05,51500,7505.13,Morning,상현주@luxuryhotels.com,+1-285-309-5242,Sharon Smith,Friend,+1-937-748-1466,14.8,3.4,"Conflict Resolution, Communication, Multi-tasking, Problem Solving","Chinese (Native), French (Intermediate)","First Aid Certified, Wine & Spirits Certification",0,Full-time,Vocational Training,10am-6pm,Meets Expectations,13,5,True,,,2000-07-08,Asia Pacific,Sharon Smith,+1-937-748-1466
S0001000017,82958c98-18a5-4f9a-9695-04f292b4abb2,कम्बोज,मजूमदार,M,Front Desk Agent,Front Desk,Junior,2026-04-15,23600,3174.58,Rotating,कम्बोजम@hotels.com,+1-874-438-2677,Jason Miller MD,Sibling,+1-554-822-6145,2.8,0.1,"Customer Service, Communication, Attention to Detail, Conflict Resolution, Multi-tasking",French (Native),,1,Full-time,Bachelor's Degree,8am-4pm,Meets Expectations,8,11,True,,,1990-04-06,Asia Pacific,Jason Miller MD,+1-554-822-6145
S0001000018,82958c98-18a5-4f9a-9695-04f292b4abb2,मनीषा,टंडन,F,Concierge,Front Desk,Intermediate,2022-09-28,41200,4482.88,Afternoon,मटंडन@hotelgroup.com,+1-278-808-3917,Deborah Vazquez,Parent,+1-659-544-8136,8.5,3.4,"Problem Solving, Conflict Resolution, Attention to Detail, Communication","English (Native), German (Basic), Chinese (Intermediate)",,1,Full-time,High School,9am-5pm,Exceeds Expectations,10,7,True,,,1980-03-07,Asia Pacific,Deborah Vazquez,+1-659-544-8136
S0001000019,82958c98-18a5-4f9a-9695-04f292b4abb2,प्रबोध,मेहता,M,Concierge,Front Desk,Intermediate,2024-05-12,38900,5153.53,Night,प्रबोध.मेहता@luxuryhotels.com,+1-691-386-7358,Danielle Rice,Partner,+1-783-703-5666,6.0,1.8,"Customer Service, Communication, Reservation Systems, Conflict Resolution, Attention to Detail","Arabic (Native), Spanish (Basic)",,1,Part-time,Master's Degree,20 hours/week,Meets Expectations,12,12,True,,,1971-04-08,Asia Pacific,Danielle Rice,+1-783-703-5666
S0001000020,82958c98-18a5-4f9a-9695-04f292b4abb2,성수,박,M,Bellhop,Front Desk,Entry Level,2026-05-25,23000,3261.85,Rotating,성수.박59@hotelgroup.com,+1-916-624-3789,Andrea Huber,Partner,+1-556-642-6576,0.2,0.1,"Customer Service, Conflict Resolution, Multi-tasking, Attention to Detail, Time Management","Japanese (Native), Chinese (Basic)",,4,Full-time,Vocational Training,9am-5pm,Meets Expectations,6,12,True,,,1969-08-07,Asia Pacific,Andrea Huber,+1-556-642-6576
S0001000021,82958c98-18a5-4f9a-9695-04f292b4abb2,丹,金,F,Bellhop,Front Desk,Entry Level,2024-07-02,22900,1979.74,Morning,丹金@hotelgroup.com,+1-712-655-9005,Beth Levy,Sibling,+1-331-666-8748,3.2,1.6,"Problem Solving, Conflict Resolution, Attention to Detail, Computer Skills, Communication","Russian (Native), Chinese (Intermediate), French (Basic), English (Basic)",,2,Full-time,High School,10am-6pm,Meets Expectations,10,11,True,,,1974-03-05,Asia Pacific,Beth Levy,+1-331-666-8748
S0001000022,82958c98-18a5-4f9a-9695-04f292b4abb2,陽子,中村,F,Guest Relations Manager,Front Desk,Senior,2021-08-14,47400,3340.43,Rotating,陽子中@hospitalitygroup.com,+1-592-543-4838,Sarah Houston,Friend,+1-464-693-7455,14.2,4.5,"Customer Service, Communication, Conflict Resolution, Time Management, Problem Solving, Multi-tasking",English (Native),"Wine & Spirits Certification, Food Handler",1,Full-time,High School,9am-5pm,Meets Expectations,10,12,True,,,1989-04-24,Asia Pacific,Sarah Houston,+1-464-693-7455
S0001000023,82958c98-18a5-4f9a-9695-04f292b4abb2,พิมพ์สุตา,ถนัดการยนต์,F,Receptionist,Front Desk,Junior,2025-06-04,23600,2389.72,Afternoon,พิมพ์สุตาถ@luxuryhotels.com,+1-866-653-7562,Patrick Pierce,Spouse,+1-961-960-6162,2.8,0.7,"Problem Solving, Reservation Systems, Attention to Detail, Conflict Resolution, Multi-tasking, Communication",Arabic (Native),,2,Part-time,High School,Weekends Only,Exceeds Expectations,8,12,True,,,1975-12-04,Asia Pacific,Patrick Pierce,+1-961-960-6162
S0001000024,82958c98-18a5-4f9a-9695-04f292b4abb2,洋介,吉田,M,Concierge,Front Desk,Intermediate,2021-10-26,61800,3046.03,Morning,洋介.吉田64@hotelgroup.com,+1-257-958-4723,Jessica Martin,Partner,+1-893-777-4218,10.0,4.3,"Multi-tasking, Attention to Detail, Problem Solving, Reservation Systems, Conflict Resolution, Computer Skills",German (Native),,3,Full-time,High School,9am-5pm,Meets Expectations,14,11,True,,,1982-10-03,Asia Pacific,Jessica Martin,+1-893-777-4218
S0001000025,82958c98-18a5-4f9a-9695-04f292b4abb2,सुरेश,मेहता,M,Front Desk Agent,Front Desk,Junior,2023-09-22,42000,4047.11,Morning,समेहता@hotelgroup.com,+1-701-746-2039,Daniel Peterson,Sibling,+1-218-916-3400,4.7,2.4,"Time Management, Computer Skills, Multi-tasking, Customer Service, Problem Solving","Japanese (Native), English (Intermediate)",,4,Full-time,Bachelor's Degree,8am-4pm,Meets Expectations,13,11,True,,,1972-10-01,Asia Pacific,Daniel Peterson,+1-218-916-3400
S0001000026,82958c98-18a5-4f9a-9695-04f292b4abb2,정숙,김,F,Guest Relations Manager,Front Desk,Senior,2020-09-06,63500,2570.14,Rotating,정숙.김@hospitalitygroup.com,+1-476-299-9343,Dr. Karen Moore,Parent,+1-857-376-6858,13.9,5.4,"Customer Service, Reservation Systems, Computer Skills, Communication, Multi-tasking","Chinese (Native), Arabic (Intermediate), Japanese (Fluent)",,4,Full-time,High School,8am-4pm,Meets Expectations,15,11,True,,,1982-01-04,Asia Pacific,Dr. Karen Moore,+1-857-376-6858
S0001000027,82958c98-18a5-4f9a-9695-04f292b4abb2,राजीव,थापा,M,Guest Relations Manager,Front Desk,Senior,2023-11-10,50800,4427.32,Afternoon,राजीव.थापा49@hotelgroup.com,+1-901-520-9370,George Mccarty,Friend,+1-469-668-5220,9.6,2.3,"Multi-tasking, Problem Solving, Conflict Resolution, Attention to Detail, Time Management","English (Native), Arabic (Fluent), French (Intermediate), German (Fluent)",,3,Full-time,Bachelor's Degree,7am-3pm,Meets Expectations,13,7,True,,,1973-04-07,Asia Pacific,George Mccarty,+1-469-668-5220
S0001000028,82958c98-18a5-4f9a-9695-04f292b4abb2,अमला,कौल,F,Concierge,Front Desk,Intermediate,2024-02-15,33000,1998.46,Morning,अमलाक@hotelgroup.com,+1-253-754-3408,Gary Martin,Partner,+1-512-820-2930,6.3,2.0,"Time Management, Problem Solving, Reservation Systems","Russian (Native), Japanese (Intermediate), Chinese (Intermediate)",,1,Full-time,High School,8am-4pm,Meets Expectations,11,11,True,,,1971-08-19,Asia Pacific,Gary Martin,+1-512-820-2930
S0001000029,82958c98-18a5-4f9a-9695-04f292b4abb2,영수,류,M,Bell Captain,Front Desk,Intermediate,2023-11-14,42800,4830.77,Rotating,영류@luxuryhotels.com,+1-988-260-5353,Marcus Miller,Sibling,+1-810-657-7553,8.2,2.2,"Attention to Detail, Computer Skills, Reservation Systems, Customer Service","Arabic (Native), Chinese (Intermediate)",,1,Full-time,High School,8am-4pm,Needs Improvement,12,5,True,,,1981-07-22,Asia Pacific,Marcus Miller,+1-810-657-7553
S0001000030,82958c98-18a5-4f9a-9695-04f292b4abb2,चण्ड,शाह,M,Concierge,Front Desk,Intermediate,2024-12-24,42700,6020.67,Rotating,चण्ड.शाह@hotels.com,+1-484-759-2554,Pam Martinez,Spouse,+1-644-719-5795,5.5,1.1,"Time Management, Computer Skills, Multi-tasking, Problem Solving","French (Native), German (Fluent), Arabic (Intermediate)",,0,Full-time,High School,3pm-11pm,Meets Expectations,10,5,True,,,1996-05-14,Asia Pacific,Pam Martinez,+1-644-719-5795
S0001000031,82958c98-18a5-4f9a-9695-04f292b4abb2,陽子,林,F,Bell Captain,Front Desk,Intermediate,2022-09-07,50500,4067.95,Afternoon,陽林@hospitalitygroup.com,+1-373-793-6479,David Michael,Parent,+1-847-317-5285,5.8,3.4,"Customer Service, Multi-tasking, Conflict Resolution, Communication, Attention to Detail","English (Native), Japanese (Fluent), French (Fluent), Russian (Basic)",,2,Full-time,High School,10am-6pm,Meets Expectations,12,5,True,,,1977-05-10,Asia Pacific,David Michael,+1-847-317-5285
S0001000032,82958c98-18a5-4f9a-9695-04f292b4abb2,นิวิลดาน,ถนัดพิมพการ,F,Bellhop,Front Desk,Entry Level,2024-05-10,27400,1122.54,Rotating,นถนัดพิมพการ@hospitalitygroup.com,+1-754-237-2514,Cindy Rasmussen,Parent,+1-858-960-4027,3.6,1.8,"Multi-tasking, Computer Skills, Conflict Resolution, Reservation Systems, Communication, Attention to Detail","Arabic (Native), Russian (Fluent), Japanese (Basic)",,3,Full-time,Vocational Training,11pm-7am,Exceeds Expectations,11,6,True,,,2005-03-03,Asia Pacific,Cindy Rasmussen,+1-858-960-4027
S0001000033,82958c98-18a5-4f9a-9695-04f292b4abb2,นิชนันท์,คำลือ,M,Receptionist,Front Desk,Junior,2025-11-22,34400,1478.39,Morning,นคำลือ@hospitalitygroup.com,+1-429-812-8395,Samantha Donaldson,Spouse,+1-678-902-4342,3.5,0.2,"Attention to Detail, Conflict Resolution, Time Management",Arabic (Native),,4,Full-time,High School,11pm-7am,Meets Expectations,6,6,False,,Relocated,1962-03-17,Asia Pacific,Samantha Donaldson,+1-678-902-4342
S0001000034,82958c98-18a5-4f9a-9695-04f292b4abb2,敏,汤,F,Concierge,Front Desk,Intermediate,2020-02-14,43700,3587.39,Morning,敏汤@hospitalitygroup.com,+1-951-407-3129,Danielle Davis,Partner,+1-891-475-7765,9.0,6.0,"Computer Skills, Attention to Detail, Conflict Resolution, Customer Service, Time Management, Reservation Systems",Japanese (Native),,2,Full-time,Bachelor's Degree,7am-3pm,Meets Expectations,24,10,True,,,1959-10-05,Asia Pacific,Danielle Davis,+1-891-475-7765
S0001000035,82958c98-18a5-4f9a-9695-04f292b4abb2,지은,강,F,Bell Captain,Front Desk,Intermediate,2021-06-01,53900,7519.83,Afternoon,지강@luxuryhotels.com,+1-477-378-2955,Roy Smith,Partner,+1-836-934-4700,7.1,4.7,"Time Management, Computer Skills, Reservation Systems, Attention to Detail, Conflict Resolution","German (Native), Arabic (Fluent), French (Fluent)",,2,Full-time,High School,9am-5pm,Meets Expectations,13,5,True,,,1970-12-09,Asia Pacific,Roy Smith,+1-836-934-4700
S0001000036,82958c98-18a5-4f9a-9695-04f292b4abb2,英,蒋,F,Receptionist,Front Desk,Junior,2024-06-17,38600,1985.26,Rotating,英.蒋86@luxuryhotels.com,+1-385-463-5898,Scott Lawrence,Spouse,+1-291-214-2865,4.6,1.7,"Computer Skills, Problem Solving, Attention to Detail, Reservation Systems, Time Management, Communication","French (Native), English (Basic), Chinese (Fluent)",,3,Full-time,High School,11pm-7am,Meets Expectations,14,8,False,2025-11-14,Terminated,1979-10-27,Asia Pacific,Scott Lawrence,+1-291-214-2865
S0001000037,82958c98-18a5-4f9a-9695-04f292b4abb2,丽丽,俞,F,Bellhop,Front Desk,Entry Level,2023-01-06,24600,741.15,Morning,丽丽.俞@luxuryhotels.com,+1-578-540-4036,Ryan Walls,Sibling,+1-427-945-8243,3.4,3.1,"Attention to Detail, Computer Skills, Problem Solving, Reservation Systems, Communication","Japanese (Native), English (Intermediate), Russian (Fluent), Chinese (Fluent)",,1,Full-time,High School,3pm-11pm,Meets Expectations,12,7,True,,,1986-03-09,Asia Pacific,Ryan Walls,+1-427-945-8243
S0001000038,82958c98-18a5-4f9a-9695-04f292b4abb2,ศรลักษณ์,ไทไชโย,M,Receptionist,Front Desk,Junior,2026-01-21,27700,1364.85,Morning,ศรลักษณ์ไ@luxuryhotels.com,+1-652-718-9768,Timothy Williams,Sibling,+1-245-526-2432,3.6,0.1,"Conflict Resolution, Multi-tasking, Attention to Detail, Communication, Problem Solving, Reservation Systems",Spanish (Native),,4,Full-time,High School,7am-3pm,Meets Expectations,7,11,False,,Relocated,1963-02-18,Asia Pacific,Timothy Williams,+1-245-526-2432
S0001000039,82958c98-18a5-4f9a-9695-04f292b4abb2,अनिला,राय,F,Front Desk Agent,Front Desk,Junior,2024-01-25,26900,2223.64,Afternoon,अनिला.राय24@hotelgroup.com,+1-409-456-5869,Michelle Ramirez,Friend,+1-426-233-6878,4.4,2.0,"Problem Solving, Customer Service, Attention to Detail","Arabic (Native), German (Fluent), Spanish (Intermediate)",,3,Part-time,High School,Evenings,Meets Expectations,13,11,True,,,1999-03-22,Asia Pacific,Michelle Ramirez,+1-426-233-6878
S0001000040,82958c98-18a5-4f9a-9695-04f292b4abb2,裕美子,高橋,F,Bell Captain,Front Desk,Intermediate,2019-12-15,52500,5191.27,Morning,裕美子.高橋@hotelgroup.com,+1-539-744-3396,Steven Nelson,Spouse,+1-247-981-1726,8.2,6.2,"Computer Skills, Conflict Resolution, Time Management, Attention to Detail, Problem Solving","Russian (Native), Chinese (Intermediate), Arabic (Basic), German (Intermediate)",,3,Full-time,Vocational Training,9am-5pm,Meets Expectations,23,6,True,,,1991-02-06,Asia Pacific,Steven Nelson,+1-247-981-1726
S0001000041,82958c98-18a5-4f9a-9695-04f292b4abb2,लोचन,डी’सोउज़ा,M,Guest Relations Manager,Front Desk,Senior,2018-11-03,52700,6033.99,Night,लोचन.डी’सोउज़ा@hotelgroup.com,+1-426-440-7604,Richard Stewart,Partner,+1-711-471-2461,14.4,7.3,"Time Management, Computer Skills, Reservation Systems, Multi-tasking, Communication, Attention to Detail","German (Native), French (Basic), Japanese (Basic)",Food Handler,3,Full-time,High School,8am-4pm,Meets Expectations,19,10,True,,,1980-12-03,Asia Pacific,Richard Stewart,+1-711-471-2461
S0001000042,82958c98-18a5-4f9a-9695-04f292b4abb2,丽,顾,F,Bell Captain,Front Desk,Intermediate,2019-08-22,59100,6098.11,Night,丽顾@luxuryhotels.com,+1-892-603-5405,Madison Wade,Sibling,+1-605-277-2415,10.9,6.5,"Computer Skills, Reservation Systems, Communication, Customer Service, Time Management, Attention to Detail","German (Native), Russian (Basic), English (Fluent)",,1,Part-time,High School,20 hours/week,Meets Expectations,19,9,True,,,1999-05-09,Asia Pacific,Madison Wade,+1-605-277-2415
S0001000043,82958c98-18a5-4f9a-9695-04f292b4abb2,ปุณณรัตน์,ทวนทอง,M,Concierge,Front Desk,Intermediate,2020-02-26,49300,4309.05,Rotating,ปุณณรัตน์.ทวนทอง60@hotelgroup.com,+1-787-756-6215,Elizabeth Owens,Parent,+1-363-684-1362,11.1,6.0,"Computer Skills, Attention to Detail, Reservation Systems, Problem Solving, Conflict Resolution, Time Management","Spanish (Native), Arabic (Fluent), Chinese (Basic)",,0,Full-time,Master's Degree,7am-3pm,Meets Expectations,19,8,True,,,1977-09-06,Asia Pacific,Elizabeth Owens,+1-363-684-1362
S0001000044,82958c98-18a5-4f9a-9695-04f292b4abb2,健,蔡,M,Bell Captain,Front Desk,Intermediate,2021-02-14,51400,5902.05,Morning,健蔡@hospitalitygroup.com,+1-265-887-6896,Charles Lee,Parent,+1-373-841-1569,9.5,5.0,"Customer Service, Attention to Detail, Time Management, Multi-tasking, Communication, Problem Solving",German (Native),,2,Full-time,Vocational Training,7am-3pm,Needs Improvement,13,5,False,2024-06-06,Relocated,1978-03-02,Asia Pacific,Charles Lee,+1-373-841-1569
S0001000045,82958c98-18a5-4f9a-9695-04f292b4abb2,凤兰,朱,F,Concierge,Front Desk,Intermediate,2024-12-06,36800,1319.16,Morning,凤兰.朱@hotelgroup.com,+1-650-411-9949,Allison Walker,Parent,+1-287-574-6417,8.0,1.2,"Time Management, Customer Service, Problem Solving, Conflict Resolution","German (Native), Japanese (Fluent), Arabic (Fluent), Spanish (Intermediate)",,4,Part-time,Vocational Training,Weekends Only,Meets Expectations,11,12,True,,,1993-11-17,Asia Pacific,Allison Walker,+1-287-574-6417
S0001000046,82958c98-18a5-4f9a-9695-04f292b4abb2,지후,이,M,Guest Relations Manager,Front Desk,Senior,2025-10-18,85600,8834.55,Morning,지후.이@hotelgroup.com,+1-748-865-8237,Cynthia Nicholson,Parent,+1-928-947-3410,8.7,0.3,"Reservation Systems, Communication, Problem Solving, Time Management, Attention to Detail, Multi-tasking","Arabic (Native), Spanish (Fluent), Japanese (Intermediate), French (Intermediate)","Wine & Spirits Certification, First Aid Certified",0,Full-time,Vocational Training,8am-4pm,Meets Expectations,10,11,True,,,1966-08-17,Asia Pacific,Cynthia Nicholson,+1-928-947-3410
S0001000047,82958c98-18a5-4f9a-9695-04f292b4abb2,桂芝,洪,F,Guest Relations Manager,Front Desk,Senior,2025-04-21,64300,5756.63,Rotating,桂洪@hotelgroup.com,+1-696-916-5841,Ashley Moore,Partner,+1-981-442-5043,11.6,0.8,"Computer Skills, Customer Service, Conflict Resolution, Reservation Systems, Time Management","English (Native), French (Intermediate), German (Basic), Chinese (Intermediate)",,2,Full-time,Bachelor's Degree,10am-6pm,Meets Expectations,6,6,True,,,1983-12-15,Asia Pacific,Ashley Moore,+1-981-442-5043
S0001000048,82958c98-18a5-4f9a-9695-04f292b4abb2,धवल,यादव,M,Front Desk Agent,Front Desk,Junior,2024-07-16,36600,4246.21,Afternoon,धवल.यादव@luxuryhotels.com,+1-692-479-1518,Terry Williams,Parent,+1-208-719-3675,4.5,1.6,"Conflict Resolution, Problem Solving, Communication, Time Management, Reservation Systems",Russian (Native),,4,Seasonal,High School,Summer Only,Meets Expectations,12,8,False,2024-12-22,Relocated,2002-02-15,Asia Pacific,Terry Williams,+1-208-719-3675
S0001000049,82958c98-18a5-4f9a-9695-04f292b4abb2,健一,松田,M,Bellhop,Front Desk,Entry Level,2024-05-10,27200,3213.24,Afternoon,健松田@hospitalitygroup.com,+1-396-804-1736,Paul Stanley,Parent,+1-568-671-3881,2.9,1.8,"Customer Service, Attention to Detail, Multi-tasking, Communication, Conflict Resolution","Russian (Native), English (Fluent)",,4,Full-time,Bachelor's Degree,10am-6pm,Meets Expectations,14,9,False,2025-02-09,Relocated,1999-04-07,Asia Pacific,Paul Stanley,+1-568-671-3881
S0001000050,82958c98-18a5-4f9a-9695-04f292b4abb2,加奈,鈴木,F,Receptionist,Front Desk,Junior,2025-02-21,34900,5122.19,Night,加鈴木@hospitalitygroup.com,+1-252-362-7131,Jeffrey Erickson,Spouse,+1-538-359-4146,3.0,1.0,"Attention to Detail, Customer Service, Communication, Conflict Resolution, Problem Solving",Arabic (Native),,2,Part-time,PhD,30 hours/week,Meets Expectations,5,9,True,,,1998-06-22,Asia Pacific,Jeffrey Erickson,+1-538-359-4146
